"","Date","Game","Name","Team","Cat","Side","Odds","Risk","ToWin","Result","Net","Unt"
"1","10/18/2022","PHI@BOS","Al Horford","BOS","Reb","U",-132,132,100,"W",100,1
"2","10/18/2022","PHI@BOS","Derrick White","BOS","Reb","U",-132,132,100,"W",100,1
"3","10/18/2022","PHI@BOS","Jaylen Brown","BOS","Reb","U",100,100,100,"W",100,1
"4","10/18/2022","PHI@BOS","Jayson Tatum","BOS","Ast","U",110,91,100,"W",100,1
"5","10/18/2022","PHI@BOS","Joel Embiid","PHI","Ast","U",-155,155,100,"L",-155,-1.55
"6","10/18/2022","PHI@BOS","Tobias Harris","PHI","Ast","U",-115,115,100,"W",100,1
"7","10/18/2022","PHI@BOS","Tyrese Maxey","PHI","Pts","U",110,91,100,"L",-91,-0.91
"8","10/18/2022","PHI@BOS","Tyrese Maxey","PHI","Ast","U",-127,127,100,"W",100,1
"9","10/18/2022","LAL@GSW","Andrew Wiggins","GSW","Reb","U",-174,174,100,"W",100,1
"10","10/18/2022","LAL@GSW","Jordan Poole","GSW","Ast","U",128,78,100,"L",-78,-0.78
"11","10/18/2022","LAL@GSW","Anthony Davis","LAL","Pts","U",-120,120,100,"L",-120,-1.2
"12","10/18/2022","LAL@GSW","LeBron James","LAL","Reb","U",-130,130,100,"L",-130,-1.3
"13","10/19/2022","ORL@DET","Cade Cunningham","DET","Pts","U",100,100,100,"W",100,1
"14","10/19/2022","ORL@DET","Cade Cunningham","DET","Ast","U",-160,160,100,"L",-160,-1.6
"15","10/19/2022","ORL@DET","Isaiah Stewart","DET","Pts","U",115,87,100,"L",-87,-0.87
"16","10/19/2022","ORL@DET","Saddiq Bey","DET","Pts","U",-120,120,100,"W",100,1
"17","10/19/2022","ORL@DET","Saddiq Bey","DET","Ast","U",125,80,100,"L",-80,-0.8
"18","10/19/2022","ORL@DET","Jalen Suggs","ORL","Pts","U",-105,105,100,"L",-105,-1.05
"19","10/19/2022","ORL@DET","Jalen Suggs","ORL","Ast","U",-120,120,100,"W",100,1
"20","10/19/2022","WAS@IND","Chris Duarte","IND","Ast","U",-164,164,100,"W",100,1
